"Food Scarcity, Household Pulse Survey",,,,,,,
Adults in households where there was either sometimes or often not enough to eat in the last 7 days,,,,,,,
,,Total Food Scarcity,,Percent Food Scarcity,,,
United States,"47 - June 29 - July 11, 2022","25,020,272","980,318",11.9,0.5,"211,002,905","252,481,011"
United States,"46 - June 1-13, 2022","23,669,506","1,047,897",11.1,0.5,"214,060,866","252,481,011"
United States,"45 - April 27 - May 9, 2022","23,925,029","938,817",11.2,0.4,"213,005,884","252,481,011"
United States,"44 - March 30 - April 11, 2022","23,700,917","1,176,859",11.2,0.6,"211,733,779","252,481,011"
United States,"43 - March 2-14, 2022","21,752,925","913,371",10.3,0.4,"211,675,140","252,481,011"
United States,"42 - January 26 - February 7, 2022","22,117,076","1,009,575",10.1,0.4,"218,645,382","250,265,449"
United States,"41 - December 29 - January 10, 2022","22,750,036","852,223",10.2,0.4,"223,292,171","250,265,449"
United States,"40 - December 1-13, 2021","21,116,693","1,083,236",9.7,0.5,"218,163,556","250,265,449"
United States,"39 - September 29 - October 11, 2021","19,859,009","1,116,265",9.4,0.5,"212,211,601","250,265,449"
United States,"38 - September 15-27, 2021","20,157,442","1,193,898",9.4,0.6,"213,883,469","250,265,449"
United States,"37 - September 1-13, 2021","19,088,862","1,090,594",8.8,0.5,"215,841,349","250,265,449"
United States,"36 - August 18-30, 2021","18,483,790","927,584",8.6,0.4,"215,979,571","250,265,449"
United States,"35 - August 4-16, 2021","16,726,322","806,354",7.8,0.4,"214,561,208","250,265,449"
United States,"34 - July  21 - August 2, 2021","17,698,955","1,008,935",8.2,0.5,"215,237,891","250,265,449"
United States,"33 - June 23 - July 5, 2021","20,123,506","868,623",9.7,0.4,"208,503,409","250,265,449"
United States,"32 - June 9-21, 2021","20,230,266","1,019,760",9.7,0.5,"209,124,713","250,265,449"
United States,"31 - May 26 - June 7, 2021","20,251,291","909,298",9.7,0.4,"209,532,248","250,265,449"
United States,"30 - May 12-24, 2021","19,376,041","994,407",9.1,0.5,"211,846,812","250,265,449"
United States,"29 - April 28 - May 10, 2021","18,197,385","1,051,093",8.7,0.5,"208,872,448","250,265,449"
United States,"28 - April 14-26, 2021","16,797,643","863,159",8.1,0.4,"206,508,360","250,265,449"
United States,"27 - March 17-29, 2021","18,495,327","1,067,367",8.8,0.5,"210,097,997","249,170,916"
United States,"26 - March 3-15, 2021","22,802,022","781,193",10.7,0.4,"212,726,597","249,170,916"
United States,"25 - February 17 - March 1, 2021","22,481,056","982,907",10.5,0.4,"213,908,796","249,170,916"
United States,"24 - February 3-15, 2021","24,402,371","940,599",11.4,0.5,"214,112,845","249,170,916"
United States,"23 - January 20 - February 1, 2021","24,069,692","1,157,840",11.2,0.5,"215,544,738","249,170,916"
United States,"22 - January 6-18, 2021","23,750,093","969,824",11.3,0.5,"210,076,412","249,170,916"
United States,"21 - December 9-21, 2020","29,654,823","936,990",13.7,0.4,"216,446,296","249,170,916"
United States,"20 - November 25 - December 7, 2020","27,380,060","965,042",12.7,0.4,"216,398,427","249,170,916"
United States,"19 - November 11-23, 2020","25,749,469","896,236",11.9,0.4,"215,967,309","249,170,916"
United States,"18 - October 28 - November 9, 2020","25,761,209","928,633",12,0.4,"215,296,772","249,170,916"
United States,"17 - October 14-26, 2020","23,883,801","1,078,539",10.9,0.5,"218,462,392","249,170,916"
United States,"16 - September 30 - October 12, 2020","22,681,729","964,626",10.3,0.4,"219,391,002","249,170,916"
United States,"15 - September 16-28, 2020","22,222,901","706,459",10.1,0.3,"220,182,837","249,170,916"
United States,"14 - September 2-14, 2020","22,897,810","1,021,596",10.5,0.5,"218,535,605","249,170,916"
United States,"13 - August 19-31, 2020","22,365,212","736,903",10.3,0.3,"217,446,620","249,170,916"
United States,"12 - July 16-21, 2020","29,284,583","1,266,138",12.1,0.5,"242,899,746","249,170,916"
United States,"11 - July 9-14, 2020","26,058,378","907,236",10.8,0.4,"242,101,665","249,170,916"
United States,"10 - July 2-7, 2020","26,324,301","898,739",10.8,0.4,"242,941,741","249,170,916"
United States,"9 - June 25-30, 2020","25,359,019","1,141,726",10.4,0.5,"242,927,404","249,170,916"
United States,"8 - June 18-23, 2020","23,678,322","1,213,808",9.7,0.5,"243,760,956","249,170,916"
United States,"7 - June 11-16, 2020","24,492,714","1,172,887",10.1,0.5,"243,326,699","249,170,916"
United States,"6 - June 4-9, 2020","24,953,623","1,051,475",10.3,0.4,"242,251,756","249,170,916"
United States,"5 - May 28-June 2, 2020","25,912,441","976,839",10.7,0.4,"242,715,813","249,170,916"
United States,"4 - May 21-26, 2020","24,048,972","1,237,967",9.9,0.5,"242,572,860","249,170,916"
United States,"3 - May 14-19, 2020","26,160,379","1,167,858",10.7,0.5,"243,623,863","249,170,916"
United States,"2 - May 7-12, 2020","25,893,667","1,440,230",10.6,0.6,"243,779,595","249,170,916"
United States,"1 - April 23-May 5, 2020","24,069,654","835,732",9.8,0.3,"244,934,954","249,170,916"
 -> States,,--,--,--,--,--,--
Alabama,"63 - October 18 - 30, 2023","481,841","77,057",14.6,2.4,"3,300,158","3,852,301"
Alaska,"63 - October 18 - 30, 2023","71,537","14,458",15.3,3,"466,044","530,263"
Arizona,"63 - October 18 - 30, 2023","738,126","105,012",14.4,2,"5,110,625","5,723,779"
Arkansas,"63 - October 18 - 30, 2023","262,621","49,995",13.2,2.4,"1,989,824","2,290,513"
California,"63 - October 18 - 30, 2023","2,929,079","350,506",11.4,1.4,"25,701,645","29,670,532"
Colorado,"63 - October 18 - 30, 2023","472,958","92,911",11.5,2.2,"4,106,364","4,553,684"
Connecticut,"63 - October 18 - 30, 2023","305,558","63,632",12.5,2.5,"2,448,140","2,789,532"
Delaware,"63 - October 18 - 30, 2023","88,724","20,604",12.6,2.9,"706,861","802,595"
District of Columbia,"63 - October 18 - 30, 2023","31,836","12,688",6.7,2.7,"475,452","514,777"
Florida,"63 - October 18 - 30, 2023","1,865,768","263,950",12,1.8,"15,550,942","17,896,443"
Georgia,"63 - October 18 - 30, 2023","1,178,123","210,757",16.9,3,"6,958,497","8,284,651"
Hawaii,"63 - October 18 - 30, 2023","132,667","39,905",13.1,3.9,"1,014,493","1,104,070"
Idaho,"63 - October 18 - 30, 2023","157,665","34,862",11.7,2.5,"1,345,360","1,463,645"
Illinois,"63 - October 18 - 30, 2023","1,216,788","164,126",14.3,1.8,"8,481,901","9,564,566"
Indiana,"63 - October 18 - 30, 2023","550,886","98,784",12.3,2.1,"4,485,551","5,124,472"
Iowa,"63 - October 18 - 30, 2023","229,586","64,903",10.4,3,"2,205,646","2,391,994"
Kansas,"63 - October 18 - 30, 2023","239,405","43,850",12.3,2.2,"1,950,288","2,171,506"
Kentucky,"63 - October 18 - 30, 2023","357,753","87,963",12.1,2.9,"2,953,066","3,405,196"
Louisiana,"63 - October 18 - 30, 2023","425,096","80,935",14.7,2.7,"2,899,948","3,394,886"
Maine,"63 - October 18 - 30, 2023","122,857","29,237",12.1,2.9,"1,013,551","1,113,361"
Maryland,"63 - October 18 - 30, 2023","445,348","90,397",10.6,2.1,"4,198,642","4,704,806"
Massachusetts,"63 - October 18 - 30, 2023","534,182","104,526",10.8,2.1,"4,943,794","5,427,691"
Michigan,"63 - October 18 - 30, 2023","871,572","135,003",12.8,2,"6,797,611","7,735,119"
Minnesota,"63 - October 18 - 30, 2023","321,102","82,690",8.1,2.1,"3,984,871","4,311,532"
Mississippi,"63 - October 18 - 30, 2023","289,727","55,698",15.1,2.8,"1,914,180","2,173,482"
Missouri,"63 - October 18 - 30, 2023","505,642","102,385",12.1,2.4,"4,175,264","4,681,751"
Montana,"63 - October 18 - 30, 2023","104,565","22,243",13.2,2.8,"791,623","880,407"
Nebraska,"63 - October 18 - 30, 2023","150,678","27,744",11.2,2,"1,339,689","1,455,973"
Nevada,"63 - October 18 - 30, 2023","351,425","59,924",15.8,2.6,"2,219,245","2,494,294"
New Hampshire,"63 - October 18 - 30, 2023","80,951","25,508",8,2.5,"1,016,494","1,117,829"
New Jersey,"63 - October 18 - 30, 2023","683,036","125,203",11.3,2,"6,054,620","7,122,199"
New Mexico,"63 - October 18 - 30, 2023","204,671","37,285",14.2,2.5,"1,438,818","1,622,106"
New York,"63 - October 18 - 30, 2023","1,389,668","310,517",10.8,2.3,"12,812,228","15,036,419"
North Carolina,"63 - October 18 - 30, 2023","881,894","173,084",12.3,2.3,"7,183,056","8,270,414"
North Dakota,"63 - October 18 - 30, 2023","48,813","11,725",9.8,2.3,"496,137","570,659"
Ohio,"63 - October 18 - 30, 2023","856,580","196,072",10.9,2.5,"7,825,522","8,934,322"
Oklahoma,"63 - October 18 - 30, 2023","378,595","67,506",14.4,2.5,"2,636,654","2,986,911"
Oregon,"63 - October 18 - 30, 2023","284,560","53,089",9.3,1.7,"3,056,704","3,315,259"
Pennsylvania,"63 - October 18 - 30, 2023","1,062,477","209,001",12.4,2.5,"8,573,200","9,933,427"
Rhode Island,"63 - October 18 - 30, 2023","82,471","22,920",11.5,3.1,"714,487","848,183"
South Carolina,"63 - October 18 - 30, 2023","415,700","78,388",11.8,2.2,"3,524,227","4,116,940"
South Dakota,"63 - October 18 - 30, 2023","70,669","16,753",11.4,2.7,"621,752","675,019"
Tennessee,"63 - October 18 - 30, 2023","653,157","113,386",13.5,2.3,"4,844,543","5,455,071"
Texas,"63 - October 18 - 30, 2023","3,222,660","382,917",16.5,1.9,"19,567,981","22,460,717"
Utah,"63 - October 18 - 30, 2023","235,174","51,387",10.5,2.3,"2,235,544","2,450,650"
Vermont,"63 - October 18 - 30, 2023","47,032","11,378",10.2,2.4,"463,203","510,057"
Virginia,"63 - October 18 - 30, 2023","662,577","124,680",11.4,2.1,"5,836,010","6,631,493"
Washington,"63 - October 18 - 30, 2023","594,510","89,675",10.6,1.6,"5,590,384","6,050,305"
West Virginia,"63 - October 18 - 30, 2023","184,342","39,379",15.3,3.2,"1,205,247","1,370,064"
Wisconsin,"63 - October 18 - 30, 2023","453,225","105,119",10.9,2.5,"4,144,157","4,538,089"
Wyoming,"63 - October 18 - 30, 2023","51,261","11,301",12.7,2.8,"404,457","442,798"
Alabama,"62 - September 20 - October 2, 2023","494,309","94,069",15.1,2.7,"3,263,646","3,852,301"
Alaska,"62 - September 20 - October 2, 2023","54,636","11,767",11.3,2.4,"483,636","530,263"
Arizona,"62 - September 20 - October 2, 2023","617,415","84,092",12.4,1.7,"4,972,815","5,723,779"
Arkansas,"62 - September 20 - October 2, 2023","215,887","47,424",10.9,2.3,"1,979,214","2,290,513"
California,"62 - September 20 - October 2, 2023","3,401,855","498,996",13.4,2,"25,439,097","29,670,532"
Colorado,"62 - September 20 - October 2, 2023","386,877","73,960",9.5,1.8,"4,054,127","4,553,684"
Connecticut,"62 - September 20 - October 2, 2023","350,596","65,776",14.2,2.7,"2,473,543","2,789,532"
Delaware,"62 - September 20 - October 2, 2023","87,537","19,581",12.5,2.7,"698,019","802,595"
District of Columbia,"62 - September 20 - October 2, 2023","46,712","14,053",9.8,3,"476,854","514,777"
Florida,"62 - September 20 - October 2, 2023","2,183,712","263,337",14,1.7,"15,543,711","17,896,443"
Georgia,"62 - September 20 - October 2, 2023","1,208,973","219,065",16.2,2.9,"7,464,329","8,284,651"
Hawaii,"62 - September 20 - October 2, 2023","99,431","27,165",9.7,2.6,"1,022,923","1,104,070"
Idaho,"62 - September 20 - October 2, 2023","134,362","30,231",10.1,2.2,"1,325,585","1,463,645"
Illinois,"62 - September 20 - October 2, 2023","998,728","198,613",11.7,2.3,"8,529,635","9,564,566"
Indiana,"62 - September 20 - October 2, 2023","506,445","94,490",11.3,2,"4,463,357","5,124,472"
Iowa,"62 - September 20 - October 2, 2023","230,294","41,324",10.6,1.9,"2,171,636","2,391,994"
Kansas,"62 - September 20 - October 2, 2023","246,008","45,718",12.7,2.3,"1,941,205","2,171,506"
Kentucky,"62 - September 20 - October 2, 2023","448,840","93,495",14.6,3,"3,069,461","3,405,196"
Louisiana,"62 - September 20 - October 2, 2023","574,142","107,696",19.5,3.6,"2,947,669","3,394,886"
Maine,"62 - September 20 - October 2, 2023","103,843","30,334",10.1,2.9,"1,024,812","1,113,361"
Maryland,"62 - September 20 - October 2, 2023","471,421","100,185",11.4,2.4,"4,121,972","4,704,806"
Massachusetts,"62 - September 20 - October 2, 2023","537,657","98,849",11.3,2,"4,737,788","5,427,691"
Michigan,"62 - September 20 - October 2, 2023","916,327","143,931",13.1,2,"6,980,026","7,735,119"
Minnesota,"62 - September 20 - October 2, 2023","301,957","77,343",7.8,2,"3,854,361","4,311,532"
Mississippi,"62 - September 20 - October 2, 2023","249,905","59,003",13.5,3.2,"1,846,322","2,173,482"
Missouri,"62 - September 20 - October 2, 2023","528,496","94,479",13.3,2.3,"3,983,887","4,681,751"
Montana,"62 - September 20 - October 2, 2023","93,924","23,999",11.9,3,"787,194","880,407"
Nebraska,"62 - September 20 - October 2, 2023","156,007","29,870",11.9,2.3,"1,308,991","1,455,973"
Nevada,"62 - September 20 - October 2, 2023","361,187","78,667",16.3,3.4,"2,216,901","2,494,294"
New Hampshire,"62 - September 20 - October 2, 2023","86,026","22,264",8.3,2.2,"1,030,573","1,117,829"
New Jersey,"62 - September 20 - October 2, 2023","585,691","140,992",9.4,2.2,"6,200,958","7,122,199"
New Mexico,"62 - September 20 - October 2, 2023","213,765","34,891",14.4,2.3,"1,486,141","1,622,106"
New York,"62 - September 20 - October 2, 2023","1,401,919","317,989",11.1,2.4,"12,682,566","15,036,419"
North Carolina,"62 - September 20 - October 2, 2023","850,122","178,874",11.6,2.4,"7,348,435","8,270,414"
North Dakota,"62 - September 20 - October 2, 2023","46,362","13,739",9.1,2.6,"508,479","570,659"
Ohio,"62 - September 20 - October 2, 2023","1,104,749","184,848",14.2,2.2,"7,802,886","8,934,322"
Oklahoma,"62 - September 20 - October 2, 2023","405,661","56,298",15.6,2,"2,592,564","2,986,911"
Oregon,"62 - September 20 - October 2, 2023","294,860","49,071",9.8,1.6,"3,018,141","3,315,259"
Pennsylvania,"62 - September 20 - October 2, 2023","980,203","146,489",11,1.6,"8,933,021","9,933,427"
Rhode Island,"62 - September 20 - October 2, 2023","95,664","34,185",12.7,4.5,"751,162","848,183"
South Carolina,"62 - September 20 - October 2, 2023","522,941","93,642",14.3,2.5,"3,648,161","4,116,940"
South Dakota,"62 - September 20 - October 2, 2023","55,487","13,627",9,2.2,"613,131","675,019"
Tennessee,"62 - September 20 - October 2, 2023","551,288","111,235",11.9,2.3,"4,627,809","5,455,071"
Texas,"62 - September 20 - October 2, 2023","2,331,706","343,911",12.5,1.9,"18,671,723","22,460,717"
Utah,"62 - September 20 - October 2, 2023","236,074","31,948",10.8,1.5,"2,193,752","2,450,650"
Vermont,"62 - September 20 - October 2, 2023","40,316","10,739",8.5,2.3,"473,349","510,057"
Virginia,"62 - September 20 - October 2, 2023","691,872","137,177",11.7,2.3,"5,910,832","6,631,493"
Washington,"62 - September 20 - October 2, 2023","501,758","75,514",9.2,1.4,"5,474,387","6,050,305"
West Virginia,"62 - September 20 - October 2, 2023","169,329","31,684",14.6,2.8,"1,160,642","1,370,064"
Wisconsin,"62 - September 20 - October 2, 2023","387,882","85,504",9.4,2,"4,119,241","4,538,089"
Wyoming,"62 - September 20 - October 2, 2023","48,958","11,088",12.1,2.7,"404,887","442,798"
Alabama,"61 - August 23 - September 4, 2023","423,816","83,812",13.6,2.6,"3,126,464","3,852,301"
Alaska,"61 - August 23 - September 4, 2023","60,108","15,264",13.2,3.2,"454,196","530,263"
Arizona,"61 - August 23 - September 4, 2023","711,924","119,295",14.3,2.3,"4,965,876","5,723,779"
Arkansas,"61 - August 23 - September 4, 2023","319,043","67,736",16.8,3.5,"1,899,457","2,290,513"
California,"61 - August 23 - September 4, 2023","2,994,058","500,469",12,1.9,"24,970,048","29,670,532"
Colorado,"61 - August 23 - September 4, 2023","400,912","65,293",10.3,1.7,"3,902,681","4,553,684"
Connecticut,"61 - August 23 - September 4, 2023","323,115","71,139",13.5,2.9,"2,398,913","2,789,532"
Delaware,"61 - August 23 - September 4, 2023","55,568","15,656",8.2,2.3,"679,764","802,595"
District of Columbia,"61 - August 23 - September 4, 2023","53,823","12,055",12.3,2.6,"437,176","514,777"
Florida,"61 - August 23 - September 4, 2023","1,898,022","287,979",12.8,1.9,"14,858,612","17,896,443"
Georgia,"61 - August 23 - September 4, 2023","877,728","201,538",12.6,2.8,"6,969,847","8,284,651"
Hawaii,"61 - August 23 - September 4, 2023","85,269","28,738",8.5,2.9,"1,008,762","1,104,070"
Idaho,"61 - August 23 - September 4, 2023","130,290","26,249",10.3,2,"1,268,662","1,463,645"
Illinois,"61 - August 23 - September 4, 2023","889,556","172,756",11.2,2.1,"7,909,576","9,564,566"
Indiana,"61 - August 23 - September 4, 2023","489,896","86,286",11.4,2,"4,310,658","5,124,472"
Iowa,"61 - August 23 - September 4, 2023","213,133","40,155",10.2,1.9,"2,092,830","2,391,994"
Kansas,"61 - August 23 - September 4, 2023","249,908","44,713",13.1,2.2,"1,914,531","2,171,506"
Kentucky,"61 - August 23 - September 4, 2023","414,992","70,117",14.3,2.5,"2,901,932","3,405,196"
Louisiana,"61 - August 23 - September 4, 2023","478,787","101,223",17.9,3.4,"2,680,936","3,394,886"
Maine,"61 - August 23 - September 4, 2023","100,772","22,225",10.1,2.2,"1,002,609","1,113,361"
Maryland,"61 - August 23 - September 4, 2023","481,111","101,447",11.7,2.4,"4,128,083","4,704,806"
Massachusetts,"61 - August 23 - September 4, 2023","518,807","87,975",11.2,1.8,"4,623,431","5,427,691"
Michigan,"61 - August 23 - September 4, 2023","883,978","141,927",13.6,2.1,"6,496,079","7,735,119"
Minnesota,"61 - August 23 - September 4, 2023","314,314","67,169",8.2,1.7,"3,836,421","4,311,532"
Mississippi,"61 - August 23 - September 4, 2023","414,219","78,712",22.4,4,"1,850,356","2,173,482"
Missouri,"61 - August 23 - September 4, 2023","435,839","97,869",10.6,2.4,"4,126,220","4,681,751"
Montana,"61 - August 23 - September 4, 2023","66,296","21,355",8.4,2.7,"790,726","880,407"
Nebraska,"61 - August 23 - September 4, 2023","146,850","29,294",11.6,2.2,"1,261,820","1,455,973"
Nevada,"61 - August 23 - September 4, 2023","335,241","61,702",15.1,2.8,"2,226,431","2,494,294"
New Hampshire,"61 - August 23 - September 4, 2023","67,915","19,933",7,2,"977,155","1,117,829"
New Jersey,"61 - August 23 - September 4, 2023","489,304","117,416",8,1.9,"6,084,400","7,122,199"
New Mexico,"61 - August 23 - September 4, 2023","212,002","44,425",14.8,3.1,"1,429,550","1,622,106"
New York,"61 - August 23 - September 4, 2023","1,872,454","333,153",15,2.6,"12,506,409","15,036,419"
North Carolina,"61 - August 23 - September 4, 2023","839,905","174,325",12,2.4,"7,003,343","8,270,414"
North Dakota,"61 - August 23 - September 4, 2023","51,453","18,007",10.4,3.6,"496,313","570,659"
Ohio,"61 - August 23 - September 4, 2023","1,024,063","178,322",14,2.4,"7,319,495","8,934,322"
Oklahoma,"61 - August 23 - September 4, 2023","362,856","77,665",13.7,2.9,"2,648,149","2,986,911"
Oregon,"61 - August 23 - September 4, 2023","360,560","73,410",12.2,2.4,"2,958,500","3,315,259"
Pennsylvania,"61 - August 23 - September 4, 2023","799,002","138,279",9.5,1.6,"8,420,071","9,933,427"
Rhode Island,"61 - August 23 - September 4, 2023","59,316","16,762",8.2,2.3,"719,824","848,183"
South Carolina,"61 - August 23 - September 4, 2023","443,424","106,938",13.2,3,"3,358,296","4,116,940"
South Dakota,"61 - August 23 - September 4, 2023","67,647","18,105",11.6,3,"582,400","675,019"
Tennessee,"61 - August 23 - September 4, 2023","533,987","122,920",11.6,2.5,"4,616,310","5,455,071"
Texas,"61 - August 23 - September 4, 2023","2,466,614","413,453",12.6,2,"19,557,325","22,460,717"
Utah,"61 - August 23 - September 4, 2023","189,704","48,604",8.7,2.2,"2,191,413","2,450,650"
Vermont,"61 - August 23 - September 4, 2023","40,274","14,566",8.7,3,"463,741","510,057"
Virginia,"61 - August 23 - September 4, 2023","655,460","139,661",11.4,2.3,"5,772,931","6,631,493"
Washington,"61 - August 23 - September 4, 2023","411,692","73,791",7.7,1.3,"5,356,877","6,050,305"
West Virginia,"61 - August 23 - September 4, 2023","140,919","33,488",11.8,2.9,"1,194,277","1,370,064"
Wisconsin,"61 - August 23 - September 4, 2023","320,588","65,886",8,1.7,"3,996,237","4,538,089"
Wyoming,"61 - August 23 - September 4, 2023","56,764","18,325",14.3,4.6,"395,666","442,798"
Alabama,"60 - July 26 - August 7, 2023","473,927","89,430",14.3,2.6,"3,313,175","3,852,301"
Alaska,"60 - July 26 - August 7, 2023","47,051","11,452",9.6,2.3,"490,897","530,263"
Arizona,"60 - July 26 - August 7, 2023","707,058","124,018",14,2.4,"5,044,082","5,723,779"
Arkansas,"60 - July 26 - August 7, 2023","237,466","55,568",11.6,2.7,"2,043,845","2,290,513"
California,"60 - July 26 - August 7, 2023","3,635,930","540,382",13.8,2,"26,404,204","29,670,532"
Colorado,"60 - July 26 - August 7, 2023","478,520","89,117",11.6,2.1,"4,134,315","4,553,684"
Connecticut,"60 - July 26 - August 7, 2023","262,450","61,274",10.8,2.5,"2,436,855","2,789,532"
Delaware,"60 - July 26 - August 7, 2023","74,402","24,386",10.8,3.4,"687,228","802,595"
District of Columbia,"60 - July 26 - August 7, 2023","32,225","11,553",7.2,2.6,"445,980","514,777"
Florida,"60 - July 26 - August 7, 2023","2,064,089","325,322",13.4,2.1,"15,358,315","17,896,443"
Georgia,"60 - July 26 - August 7, 2023","1,115,058","194,241",15.9,2.7,"7,009,509","8,284,651"
Hawaii,"60 - July 26 - August 7, 2023","58,683","20,565",6,2.1,"982,051","1,104,070"
Idaho,"60 - July 26 - August 7, 2023","141,800","36,365",10.4,2.7,"1,365,910","1,463,645"
Illinois,"60 - July 26 - August 7, 2023","916,638","161,038",10.7,1.9,"8,546,863","9,564,566"
Indiana,"60 - July 26 - August 7, 2023","501,020","76,834",11,1.7,"4,540,999","5,124,472"
Iowa,"60 - July 26 - August 7, 2023","264,051","51,259",12.6,2.3,"2,101,844","2,391,994"
Kansas,"60 - July 26 - August 7, 2023","147,315","27,872",7.6,1.4,"1,944,148","2,171,506"
Kentucky,"60 - July 26 - August 7, 2023","490,051","100,075",16.4,3.4,"2,986,347","3,405,196"
Louisiana,"60 - July 26 - August 7, 2023","465,160","86,544",15.8,2.8,"2,946,801","3,394,886"
Maine,"60 - July 26 - August 7, 2023","104,640","29,701",10.3,2.9,"1,011,815","1,113,361"
Maryland,"60 - July 26 - August 7, 2023","480,135","81,208",11.6,1.9,"4,144,698","4,704,806"
Massachusetts,"60 - July 26 - August 7, 2023","385,125","94,891",8.1,2,"4,742,685","5,427,691"
Michigan,"60 - July 26 - August 7, 2023","740,184","143,910",10.7,2.1,"6,904,955","7,735,119"
Minnesota,"60 - July 26 - August 7, 2023","323,967","52,575",8.5,1.4,"3,819,840","4,311,532"
Mississippi,"60 - July 26 - August 7, 2023","365,566","67,104",19.7,3.3,"1,854,967","2,173,482"
Missouri,"60 - July 26 - August 7, 2023","500,598","91,581",11.8,2.1,"4,252,416","4,681,751"
Montana,"60 - July 26 - August 7, 2023","80,735","22,578",10,2.8,"804,966","880,407"
Nebraska,"60 - July 26 - August 7, 2023","136,358","28,177",10.5,2.2,"1,298,518","1,455,973"
Nevada,"60 - July 26 - August 7, 2023","289,356","83,693",13,3.7,"2,227,392","2,494,294"
New Hampshire,"60 - July 26 - August 7, 2023","76,632","23,296",7.8,2.3,"987,362","1,117,829"
New Jersey,"60 - July 26 - August 7, 2023","592,176","145,470",9.5,2.3,"6,233,436","7,122,199"
New Mexico,"60 - July 26 - August 7, 2023","218,035","44,708",15.3,3.1,"1,427,645","1,622,106"
New York,"60 - July 26 - August 7, 2023","1,375,625","297,712",10.4,2.2,"13,179,300","15,036,419"
North Carolina,"60 - July 26 - August 7, 2023","1,096,153","176,087",15,2.5,"7,284,129","8,270,414"
North Dakota,"60 - July 26 - August 7, 2023","69,952","24,435",13.9,4.8,"502,363","570,659"
Ohio,"60 - July 26 - August 7, 2023","906,695","217,845",11.5,2.7,"7,868,975","8,934,322"
Oklahoma,"60 - July 26 - August 7, 2023","360,239","62,961",14.2,2.4,"2,538,973","2,986,911"
Oregon,"60 - July 26 - August 7, 2023","420,900","89,477",13.8,2.9,"3,042,567","3,315,259"
Pennsylvania,"60 - July 26 - August 7, 2023","811,984","185,117",9,2,"8,990,726","9,933,427"
Rhode Island,"60 - July 26 - August 7, 2023","74,634","25,579",9.7,3.3,"765,692","848,183"
South Carolina,"60 - July 26 - August 7, 2023","447,288","86,214",12.2,2.4,"3,676,726","4,116,940"
South Dakota,"60 - July 26 - August 7, 2023","42,994","12,232",6.9,2,"619,530","675,019"
Tennessee,"60 - July 26 - August 7, 2023","546,110","114,846",11.4,2.4,"4,795,726","5,455,071"
Texas,"60 - July 26 - August 7, 2023","2,869,260","286,393",14.7,1.4,"19,531,574","22,460,717"
Utah,"60 - July 26 - August 7, 2023","191,834","43,007",8.5,1.9,"2,254,526","2,450,650"
Vermont,"60 - July 26 - August 7, 2023","31,353","9,390",6.6,2,"475,097","510,057"
Virginia,"60 - July 26 - August 7, 2023","567,772","114,179",9.8,2,"5,765,472","6,631,493"
Washington,"60 - July 26 - August 7, 2023","494,873","96,800",9,1.7,"5,484,566","6,050,305"
West Virginia,"60 - July 26 - August 7, 2023","144,769","34,022",12.2,2.8,"1,188,052","1,370,064"
Wisconsin,"60 - July 26 - August 7, 2023","384,988","84,797",9.3,2.1,"4,121,714","4,538,089"
Wyoming,"60 - July 26 - August 7, 2023","35,421","8,352",8.7,2.1,"405,478","442,798"
Alabama,"59 - June 28 - July 10, 2023","483,631","108,117",14.2,3,"3,393,963","3,852,301"
Alaska,"59 - June 28 - July 10, 2023","28,387","9,815",6,2.1,"470,670","530,263"
