"Housing Insecurity (Missed Payment and Low Confidence), Household Pulse Survey","","","","","","",""
"Adults in households who are not current on rent or mortgage payments and who have slight or no confidence that their household can pay next month's rent or mortgage on time","","","","","","",""
"","","Total Housing Insecurity (Missed Payment and Low Confidence)","","Percent Housing Insecurity (Missed Payment and Low Confidence)","","",""
"Michigan","44 - March 30 - April 11, 2022","238510","82865","5.8","1.9","4147066","7,718,744"
"Minnesota","44 - March 30 - April 11, 2022","88070","39789","3.3","1.5","2633865","4,292,622"
"Mississippi","44 - March 30 - April 11, 2022","102945","40229","9.5","3.5","1079697","2,182,393"
"Missouri","44 - March 30 - April 11, 2022","105895","38954","4.1","1.5","2608334","4,663,878"
"Montana","44 - March 30 - April 11, 2022","12166","7265","2.4","1.5","501222","864,638"
"Nebraska","44 - March 30 - April 11, 2022","22508","10321","2.8","1.3","808541","1,444,043"
"Nevada","44 - March 30 - April 11, 2022","133417","59652","8.3","3.6","1599746","2,449,239"
"New Hampshire","44 - March 30 - April 11, 2022","42946","28905","6.3","4.1","684389","1,110,006"
"New Jersey","44 - March 30 - April 11, 2022","161997","62955","4.1","1.7","3919375","7,091,865"
"New Mexico","44 - March 30 - April 11, 2022","54487","19851","7.2","2.7","759708","1,614,032"
"New York","44 - March 30 - April 11, 2022","368672","146173","4.6","1.8","8003021","14,996,492"
"North Carolina","44 - March 30 - April 11, 2022","248456","104792","5.6","2.3","4428341","8,113,018"
"North Dakota","44 - March 30 - April 11, 2022","21274","10471","6.4","3.1","333817","565,257"
"Ohio","44 - March 30 - April 11, 2022","222109","89633","4.6","1.9","4788734","8,912,298"
"Oklahoma","44 - March 30 - April 11, 2022","67630","27157","4.1","1.6","1664871","2,959,577"
"Oregon","44 - March 30 - April 11, 2022","139095","70378","6.4","3.1","2190123","3,326,922"
"Pennsylvania","44 - March 30 - April 11, 2022","271114","103205","5.4","2.1","4984084","9,920,164"
"Rhode Island","44 - March 30 - April 11, 2022","42417","21746","8.1","4.2","522318","850,220"
"South Carolina","44 - March 30 - April 11, 2022","102462","45005","4.9","2.2","2078428","4,024,826"
"South Dakota","44 - March 30 - April 11, 2022","10759","6650","2.9","1.8","374189","656,870"
"Tennessee","44 - March 30 - April 11, 2022","85248","44392","2.9","1.5","2962019","5,358,697"
"Texas","44 - March 30 - April 11, 2022","670905","207520","5.9","1.7","11418245","21,876,805"
"Utah","44 - March 30 - April 11, 2022","23303","10697","1.5","0.7","1595173","2,411,013"
"Vermont","44 - March 30 - April 11, 2022","15722","10174","5.4","3.4","288856","508,959"
"Virginia","44 - March 30 - April 11, 2022","139022","63284","3.5","1.6","4016923","6,566,286"
"Washington","44 - March 30 - April 11, 2022","90892","32764","2.4","0.9","3781374","5,971,227"
"West Virginia","44 - March 30 - April 11, 2022","26530","18473","4.3","3","622452","1,382,693"
"Wisconsin","44 - March 30 - April 11, 2022","105548","44686","4.4","1.9","2382424","4,514,873"
"Wyoming","44 - March 30 - April 11, 2022","3765","3327","1.5","1.4","247120","437,949"
"Alabama","43 - March 2-14, 2022","220074","76012","12","3.8","1840712","3,834,458"
"Alaska","43 - March 2-14, 2022","23124","8073","7","2.4","329613","531,333"
"Arizona","43 - March 2-14, 2022","125018","42911","3.8","1.2","3331453","5,637,881"
"Arkansas","43 - March 2-14, 2022","120279","49045","10.1","4","1186324","2,271,244"
"California","43 - March 2-14, 2022","868093","214231","4.9","1.2","17604943","29,638,176"
"Colorado","43 - March 2-14, 2022","104673","34754","3.7","1.2","2863651","4,512,373"
"Connecticut","43 - March 2-14, 2022","99406","24425","6.3","1.5","1578026","2,788,488"
"Delaware","43 - March 2-14, 2022","20440","7751","4.7","1.9","433387","785,346"
"District of Columbia","43 - March 2-14, 2022","17580","7848","5.1","2.2","341882","490,791"
"Florida","43 - March 2-14, 2022","795033","224208","8.8","2.4","9081181","17,352,741"
"Georgia","43 - March 2-14, 2022","216951","74649","4.6","1.5","4745428","8,132,374"
"Hawaii","43 - March 2-14, 2022","40792","19703","6.1","2.8","672063","1,094,635"
"Idaho","43 - March 2-14, 2022","20163","10923","2.3","1.3","884204","1,455,895"
"Illinois","43 - March 2-14, 2022","455019","149085","8.6","2.7","5268540","9,551,120"
"Indiana","43 - March 2-14, 2022","150603","62096","5.2","2.1","2877028","5,083,179"
"Iowa","43 - March 2-14, 2022","38897","20641","3.1","1.6","1271648","2,383,520"
"Kansas","43 - March 2-14, 2022","72452","32165","6","2.6","1209673","2,170,473"
"Kentucky","43 - March 2-14, 2022","108449","48305","6","2.7","1798396","3,391,961"
"Louisiana","43 - March 2-14, 2022","189327","72160","10.8","3.9","1745631","3,424,716"
"Maine","43 - March 2-14, 2022","38803","16950","6","2.6","647273","1,101,707"
"Maryland","43 - March 2-14, 2022","111571","44536","4","1.7","2772173","4,683,783"
"Massachusetts","43 - March 2-14, 2022","131916","38924","4","1.2","3260022","5,379,211"
"Michigan","43 - March 2-14, 2022","249538","73292","6.2","1.8","4011327","7,718,744"
"Minnesota","43 - March 2-14, 2022","146138","54626","5.7","2.2","2562251","4,292,622"
"Mississippi","43 - March 2-14, 2022","121987","47689","12.8","4.8","950350","2,182,393"
"Missouri","43 - March 2-14, 2022","140694","48878","5.4","1.8","2619742","4,663,878"
"Montana","43 - March 2-14, 2022","17230","5971","3.5","1.2","490581","864,638"
"Nebraska","43 - March 2-14, 2022","32227","12211","3.9","1.4","830849","1,444,043"
"Nevada","43 - March 2-14, 2022","85738","29980","5.7","1.9","1508909","2,449,239"
"New Hampshire","43 - March 2-14, 2022","26881","10866","4.1","1.7","652445","1,110,006"
"New Jersey","43 - March 2-14, 2022","244729","87243","6.1","2.1","4022981","7,091,865"
"New Mexico","43 - March 2-14, 2022","75038","26906","9.4","3.1","801344","1,614,032"
"New York","43 - March 2-14, 2022","731235","233606","9.1","2.8","8029757","14,996,492"
"North Carolina","43 - March 2-14, 2022","317625","132149","6.8","2.8","4660855","8,113,018"
"North Dakota","43 - March 2-14, 2022","2910","2951","0.9","0.9","319621","565,257"
"Ohio","43 - March 2-14, 2022","381726","145063","7.6","2.8","5043172","8,912,298"
"Oklahoma","43 - March 2-14, 2022","76107","25479","4.8","1.6","1597368","2,959,577"
"Oregon","43 - March 2-14, 2022","90067","28189","4.3","1.4","2071584","3,326,922"
"Pennsylvania","43 - March 2-14, 2022","359015","108709","6.7","2","5387819","9,920,164"
"Rhode Island","43 - March 2-14, 2022","20784","10216","4.1","2.1","505563","850,220"
"South Carolina","43 - March 2-14, 2022","142927","58792","6.8","2.8","2110837","4,024,826"
"South Dakota","43 - March 2-14, 2022","15748","8623","4.3","2.3","363615","656,870"
"Tennessee","43 - March 2-14, 2022","148005","55235","5","1.8","2958551","5,358,697"
"Texas","43 - March 2-14, 2022","860092","299780","7.4","2.4","11680560","21,876,805"
"Utah","43 - March 2-14, 2022","40080","17525","2.6","1.1","1554977","2,411,013"
"Vermont","43 - March 2-14, 2022","12130","7279","3.9","2.3","314332","508,959"
"Virginia","43 - March 2-14, 2022","209043","75055","5.6","2","3762298","6,566,286"
"Washington","43 - March 2-14, 2022","98758","27144","2.6","0.7","3829290","5,971,227"
"West Virginia","43 - March 2-14, 2022","49960","17027","7.5","2.4","661881","1,382,693"
"Wisconsin","43 - March 2-14, 2022","142078","65322","5.3","2.5","2672238","4,514,873"
"Wyoming","43 - March 2-14, 2022","8085","4436","3.3","1.8","241596","437,949"
"Alabama","42 - January 26 - February 7, 2022","133578","38361","6.4","1.9","2073071","3,737,637"
"Alaska","42 - January 26 - February 7, 2022","15141","5319","4.3","1.5","348165","525,308"
"Arizona","42 - January 26 - February 7, 2022","89207","38459","2.6","1.1","3405825","5,753,909"
"Arkansas","42 - January 26 - February 7, 2022","70461","30836","6","2.6","1177096","2,264,877"
"California","42 - January 26 - February 7, 2022","1343975","327683","7","1.7","19256359","29,807,656"
"Colorado","42 - January 26 - February 7, 2022","72437","26212","2.5","0.9","2891029","4,504,323"
"Connecticut","42 - January 26 - February 7, 2022","89004","29154","5.3","1.7","1692943","2,724,164"
"Delaware","42 - January 26 - February 7, 2022","24324","13212","5.4","2.9","453590","767,878"
"District of Columbia","42 - January 26 - February 7, 2022","21544","10186","5.2","2.4","417013","546,656"
"Florida","42 - January 26 - February 7, 2022","728241","172222","7.5","1.7","9715004","17,254,676"
"Georgia","42 - January 26 - February 7, 2022","300138","97391","6.5","2.1","4596476","8,033,423"
"Hawaii","42 - January 26 - February 7, 2022","96891","39357","13.6","5.3","711133","1,065,941"
"Idaho","42 - January 26 - February 7, 2022","28917","12956","3.4","1.5","859138","1,382,940"
"Illinois","42 - January 26 - February 7, 2022","529014","146892","9.8","2.6","5378890","9,479,736"
"Indiana","42 - January 26 - February 7, 2022","163786","52217","5.5","1.7","2954070","5,029,256"
"Iowa","42 - January 26 - February 7, 2022","47623","17950","3.7","1.4","1278609","2,349,714"
"Kansas","42 - January 26 - February 7, 2022","87076","31118","6.9","2.3","1269710","2,146,524"
"Kentucky","42 - January 26 - February 7, 2022","97731","48625","5.3","2.5","1852544","3,358,135"
"Louisiana","42 - January 26 - February 7, 2022","151161","57094","9.5","3.4","1596878","3,432,241"
"Maine","42 - January 26 - February 7, 2022","19397","9417","3","1.5","647024","1,073,016"
"Maryland","42 - January 26 - February 7, 2022","217471","67175","7.7","2.2","2833760","4,585,752"
"Massachusetts","42 - January 26 - February 7, 2022","220007","65008","6.8","1.9","3229275","5,309,617"
"Michigan","42 - January 26 - February 7, 2022","233215","76113","5.6","1.9","4163344","7,631,231"
"Minnesota","42 - January 26 - February 7, 2022","94863","43815","3.9","1.7","2434910","4,250,165"
"Mississippi","42 - January 26 - February 7, 2022","106990","39804","9.9","3.6","1075890","2,186,321"
"Missouri","42 - January 26 - February 7, 2022","178257","63831","6.3","2.2","2827465","4,638,839"
"Montana","42 - January 26 - February 7, 2022","24180","12849","4.7","2.5","509242","834,511"
"Nebraska","42 - January 26 - February 7, 2022","58126","23581","6.2","2.5","935648","1,420,835"
"Nevada","42 - January 26 - February 7, 2022","142214","75894","8.7","4.5","1642493","2,450,986"
"New Hampshire","42 - January 26 - February 7, 2022","27585","12817","3.9","1.8","702033","1,080,887"
"New Jersey","42 - January 26 - February 7, 2022","439608","144924","11.3","3.6","3891702","6,767,278"
"New Mexico","42 - January 26 - February 7, 2022","80419","28183","8.5","2.9","950967","1,604,259"
"New York","42 - January 26 - February 7, 2022","891971","279771","10.2","3.1","8775909","14,714,964"
"North Carolina","42 - January 26 - February 7, 2022","281554","108763","5.7","2.2","4940737","8,121,448"
"North Dakota","42 - January 26 - February 7, 2022","25492","8451","7.4","2.5","345012","560,525"
"Ohio","42 - January 26 - February 7, 2022","228379","82350","4.6","1.7","4968146","8,833,555"
"Oklahoma","42 - January 26 - February 7, 2022","136956","46954","8.5","2.8","1617626","2,941,764"
"Oregon","42 - January 26 - February 7, 2022","107044","27932","4.8","1.3","2213836","3,326,774"
"Pennsylvania","42 - January 26 - February 7, 2022","283322","128495","5.3","2.4","5309509","9,760,505"
"Rhode Island","42 - January 26 - February 7, 2022","28081","14717","5.4","2.8","519709","815,717"
"South Carolina","42 - January 26 - February 7, 2022","225781","74644","10.2","3.2","2218830","4,033,193"
"South Dakota","42 - January 26 - February 7, 2022","20806","11902","5.9","3.4","352696","648,348"
"Tennessee","42 - January 26 - February 7, 2022","127970","49215","4.3","1.6","2982585","5,279,261"
"Texas","42 - January 26 - February 7, 2022","773269","151993","6.7","1.3","11530556","21,688,354"
"Utah","42 - January 26 - February 7, 2022","45317","18238","2.9","1.2","1560535","2,324,002"
"Vermont","42 - January 26 - February 7, 2022","9443","5216","3.2","1.8","296224","485,680"
"Virginia","42 - January 26 - February 7, 2022","207971","100338","5.1","2.4","4080393","6,511,643"
"Washington","42 - January 26 - February 7, 2022","183981","49138","4.7","1.3","3951786","5,950,326"
"West Virginia","42 - January 26 - February 7, 2022","87024","39232","12.5","5.2","694101","1,377,441"
"Wisconsin","42 - January 26 - February 7, 2022","162575","51807","6.2","2","2605019","4,454,731"
"Wyoming","42 - January 26 - February 7, 2022","14957","5628","5.7","2.1","260503","438,527"
"Alabama","41 - December 29 - January 10, 2022","137133","44916","7.2","2.4","1899128","3,737,637"
"Alaska","41 - December 29 - January 10, 2022","11704","5256","3.5","1.5","334976","525,308"
"Arizona","41 - December 29 - January 10, 2022","240723","99916","6.5","2.7","3726650","5,753,909"
"Arkansas","41 - December 29 - January 10, 2022","70525","27839","5.3","2.1","1340394","2,264,877"
"California","41 - December 29 - January 10, 2022","1305406","320350","6.5","1.6","20089795","29,807,656"
"Colorado","41 - December 29 - January 10, 2022","163414","42174","5.4","1.4","3002465","4,504,323"
"Connecticut","41 - December 29 - January 10, 2022","148787","41153","8.9","2.5","1668823","2,724,164"
"Delaware","41 - December 29 - January 10, 2022","27369","11170","6","2.5","458642","767,878"
"District of Columbia","41 - December 29 - January 10, 2022","33969","12887","8.8","3.3","386086","546,656"
"Florida","41 - December 29 - January 10, 2022","1044186","298205","10.6","2.9","9896367","17,254,676"
"Georgia","41 - December 29 - January 10, 2022","348398","110406","7","2.1","4947116","8,033,423"
"Hawaii","41 - December 29 - January 10, 2022","53642","25501","7.6","3.7","702931","1,065,941"
"Idaho","41 - December 29 - January 10, 2022","33403","20662","3.7","2.3","898043","1,382,940"
"Illinois","41 - December 29 - January 10, 2022","317105","79705","5.4","1.3","5887416","9,479,736"
"Indiana","41 - December 29 - January 10, 2022","195011","73468","6.2","2.2","3151958","5,029,256"
"Iowa","41 - December 29 - January 10, 2022","68559","21564","5","1.5","1367069","2,349,714"
"Kansas","41 - December 29 - January 10, 2022","65157","22613","4.8","1.6","1353765","2,146,524"
"Kentucky","41 - December 29 - January 10, 2022","136202","65773","7","3.2","1951719","3,358,135"
"Louisiana","41 - December 29 - January 10, 2022","193112","57512","11.5","3.3","1673233","3,432,241"
"Maine","41 - December 29 - January 10, 2022","23391","12051","3.5","1.8","668917","1,073,016"
"Maryland","41 - December 29 - January 10, 2022","194259","66912","6.3","2.2","3081296","4,585,752"
"Massachusetts","41 - December 29 - January 10, 2022","138075","38483","4","1.1","3446440","5,309,617"
"Michigan","41 - December 29 - January 10, 2022","275726","77084","6.1","1.7","4530273","7,631,231"
"Minnesota","41 - December 29 - January 10, 2022","135714","45219","5","1.7","2738292","4,250,165"
"Mississippi","41 - December 29 - January 10, 2022","87520","30204","7","2.5","1244337","2,186,321"
"Missouri","41 - December 29 - January 10, 2022","110898","55084","3.8","1.9","2922743","4,638,839"
"Montana","41 - December 29 - January 10, 2022","29642","11337","5.7","2.1","520493","834,511"
"Nebraska","41 - December 29 - January 10, 2022","62785","22734","6.8","2.4","929388","1,420,835"
"Nevada","41 - December 29 - January 10, 2022","114281","36382","7","2.2","1638818","2,450,986"
"New Hampshire","41 - December 29 - January 10, 2022","32301","11867","4.8","1.7","672684","1,080,887"
"New Jersey","41 - December 29 - January 10, 2022","365780","97235","9.3","2.4","3953251","6,767,278"
"New Mexico","41 - December 29 - January 10, 2022","62661","25016","7.2","2.8","867661","1,604,259"
"New York","41 - December 29 - January 10, 2022","818698","192439","9","2.2","9051887","14,714,964"
"North Carolina","41 - December 29 - January 10, 2022","192533","94117","4.1","1.9","4713899","8,121,448"
"North Dakota","41 - December 29 - January 10, 2022","17225","7427","5.6","2.3","308896","560,525"
"Ohio","41 - December 29 - January 10, 2022","234150","75008","4.6","1.4","5137837","8,833,555"
"Oklahoma","41 - December 29 - January 10, 2022","149909","52515","8.6","2.9","1739525","2,941,764"
"Oregon","41 - December 29 - January 10, 2022","109966","32802","5","1.5","2186921","3,326,774"
"Pennsylvania","41 - December 29 - January 10, 2022","360280","114277","6.5","2","5560271","9,760,505"
"Rhode Island","41 - December 29 - January 10, 2022","47183","14521","8.1","2.5","584385","815,717"
"South Carolina","41 - December 29 - January 10, 2022","153088","56473","6.4","2.3","2376174","4,033,193"
"South Dakota","41 - December 29 - January 10, 2022","10248","8013","2.7","2.1","379898","648,348"
"Tennessee","41 - December 29 - January 10, 2022","224931","68425","7","2.1","3228422","5,279,261"
"Texas","41 - December 29 - January 10, 2022","1252915","339761","9.5","2.5","13191156","21,688,354"
"Utah","41 - December 29 - January 10, 2022","51495","21776","3.3","1.4","1569407","2,324,002"
"Vermont","41 - December 29 - January 10, 2022","12950","6096","4","1.9","323832","485,680"
"Virginia","41 - December 29 - January 10, 2022","246982","74530","5.9","1.8","4212654","6,511,643"
"Washington","41 - December 29 - January 10, 2022","175356","49317","4.4","1.3","3990568","5,950,326"
"West Virginia","41 - December 29 - January 10, 2022","33148","13649","4.9","2.2","671780","1,377,441"
"Wisconsin","41 - December 29 - January 10, 2022","203012","91729","7.2","3.3","2809847","4,454,731"
"Wyoming","41 - December 29 - January 10, 2022","24215","12803","9.2","4.7","261990","438,527"
"Alabama","40 - December 1-13, 2021","143822","57022","7.3","2.8","1965709","3,737,637"
"Alaska","40 - December 1-13, 2021","7090","4371","2.1","1.3","330415","525,308"
"Arizona","40 - December 1-13, 2021","170200","76022","4.9","2.1","3490151","5,753,909"
"Arkansas","40 - December 1-13, 2021","83438","48014","6.8","3.6","1235925","2,264,877"
"California","40 - December 1-13, 2021","1152853","318416","6.3","1.7","18277640","29,807,656"
"Colorado","40 - December 1-13, 2021","84087","39174","2.7","1.3","3063523","4,504,323"
"Connecticut","40 - December 1-13, 2021","103415","30703","6.9","2.1","1504820","2,724,164"
"Delaware","40 - December 1-13, 2021","40421","18363","8.8","3.9","457250","767,878"
"District of Columbia","40 - December 1-13, 2021","17691","10582","4.2","2.5","424720","546,656"
"Florida","40 - December 1-13, 2021","688651","244658","7.7","2.6","8926201","17,254,676"
