LocationType,Location,Age group,TimeFrame,DataFormat,Data
State,Wisconsin,16 to 19,2008,Percent,0.05
State,West Virginia,16 to 24,2008,Percent,0.16
State,West Virginia,20 to 24,2008,Percent,0.22
State,West Virginia,16 to 19,2008,Percent,0.1
State,Washington,16 to 24,2008,Percent,0.12
State,Washington,20 to 24,2008,Percent,0.15
State,Washington,16 to 19,2008,Percent,0.08
State,Virginia,16 to 24,2008,Percent,0.1
State,Virginia,20 to 24,2008,Percent,0.14
State,Virginia,16 to 19,2008,Percent,0.07
State,Vermont,16 to 24,2008,Percent,0.09
State,Vermont,20 to 24,2008,Percent,0.11
State,Vermont,16 to 19,2008,Percent,0.06
State,Utah,16 to 24,2008,Percent,0.09
State,Utah,20 to 24,2008,Percent,0.11
State,Utah,16 to 19,2008,Percent,0.06
State,Texas,16 to 24,2008,Percent,0.14
State,Texas,20 to 24,2008,Percent,0.19
State,Texas,16 to 19,2008,Percent,0.08
State,Tennessee,16 to 24,2008,Percent,0.15
State,Tennessee,20 to 24,2008,Percent,0.19
State,Tennessee,16 to 19,2008,Percent,0.09
State,South Dakota,16 to 24,2008,Percent,0.09
State,South Dakota,20 to 24,2008,Percent,0.11
State,South Dakota,16 to 19,2008,Percent,0.06
State,South Carolina,16 to 24,2008,Percent,0.15
State,South Carolina,20 to 24,2008,Percent,0.21
State,South Carolina,16 to 19,2008,Percent,0.08
State,Rhode Island,16 to 24,2008,Percent,0.1
State,Rhode Island,20 to 24,2008,Percent,0.13
State,Rhode Island,16 to 19,2008,Percent,0.07
State,Pennsylvania,16 to 24,2008,Percent,0.11
State,Pennsylvania,20 to 24,2008,Percent,0.15
State,Pennsylvania,16 to 19,2008,Percent,0.06
State,Oregon,16 to 24,2008,Percent,0.14
State,Oregon,20 to 24,2008,Percent,0.17
State,Oregon,16 to 19,2008,Percent,0.09
State,Oklahoma,16 to 24,2008,Percent,0.12
State,Oklahoma,20 to 24,2008,Percent,0.16
State,Oklahoma,16 to 19,2008,Percent,0.08
State,Ohio,16 to 24,2008,Percent,0.12
State,Ohio,20 to 24,2008,Percent,0.17
State,Ohio,16 to 19,2008,Percent,0.07
State,North Dakota,16 to 24,2008,Percent,0.08
State,North Dakota,20 to 24,2008,Percent,0.08
State,North Dakota,16 to 19,2008,Percent,0.06
State,North Carolina,16 to 24,2008,Percent,0.13
State,North Carolina,20 to 24,2008,Percent,0.17
State,North Carolina,16 to 19,2008,Percent,0.08
State,New York,16 to 24,2008,Percent,0.12
State,New York,20 to 24,2008,Percent,0.16
State,New York,16 to 19,2008,Percent,0.07
State,New Mexico,16 to 24,2008,Percent,0.16
State,New Mexico,20 to 24,2008,Percent,0.2
State,New Mexico,16 to 19,2008,Percent,0.1
State,New Jersey,16 to 24,2008,Percent,0.11
State,New Jersey,20 to 24,2008,Percent,0.15
State,New Jersey,16 to 19,2008,Percent,0.07
State,New Hampshire,16 to 24,2008,Percent,0.08
State,New Hampshire,20 to 24,2008,Percent,0.11
State,New Hampshire,16 to 19,2008,Percent,0.04
State,Nevada,16 to 24,2008,Percent,0.16
State,Nevada,20 to 24,2008,Percent,0.2
State,Nevada,16 to 19,2008,Percent,0.11
State,Nebraska,16 to 24,2008,Percent,0.07
State,Nebraska,20 to 24,2008,Percent,0.1
State,Nebraska,16 to 19,2008,Percent,0.04
State,Montana,16 to 24,2008,Percent,0.12
State,Montana,20 to 24,2008,Percent,0.14
State,Montana,16 to 19,2008,Percent,0.1
State,Missouri,16 to 24,2008,Percent,0.12
State,Missouri,20 to 24,2008,Percent,0.15
State,Missouri,16 to 19,2008,Percent,0.08
State,Mississippi,16 to 24,2008,Percent,0.15
State,Mississippi,20 to 24,2008,Percent,0.2
State,Mississippi,16 to 19,2008,Percent,0.09
State,Minnesota,16 to 24,2008,Percent,0.08
State,Minnesota,20 to 24,2008,Percent,0.11
State,Minnesota,16 to 19,2008,Percent,0.04
State,Michigan,16 to 24,2008,Percent,0.13
State,Michigan,20 to 24,2008,Percent,0.17
State,Michigan,16 to 19,2008,Percent,0.08
State,Massachusetts,16 to 24,2008,Percent,0.09
State,Massachusetts,20 to 24,2008,Percent,0.12
State,Massachusetts,16 to 19,2008,Percent,0.05
State,Maryland,16 to 24,2008,Percent,0.12
State,Maryland,20 to 24,2008,Percent,0.15
State,Maryland,16 to 19,2008,Percent,0.08
State,Maine,16 to 24,2008,Percent,0.13
State,Maine,20 to 24,2008,Percent,0.17
State,Maine,16 to 19,2008,Percent,0.08
State,Louisiana,16 to 24,2008,Percent,0.16
State,Louisiana,20 to 24,2008,Percent,0.21
State,Louisiana,16 to 19,2008,Percent,0.11
State,Kentucky,16 to 24,2008,Percent,0.16
State,Kentucky,20 to 24,2008,Percent,0.21
State,Kentucky,16 to 19,2008,Percent,0.1
State,Kansas,16 to 24,2008,Percent,0.08
State,Kansas,20 to 24,2008,Percent,0.11
State,Kansas,16 to 19,2008,Percent,0.05
State,Iowa,16 to 24,2008,Percent,0.07
State,Iowa,20 to 24,2008,Percent,0.09
State,Iowa,16 to 19,2008,Percent,0.04
State,Indiana,16 to 24,2008,Percent,0.12
State,Indiana,20 to 24,2008,Percent,0.16
State,Indiana,16 to 19,2008,Percent,0.08
State,Illinois,16 to 24,2008,Percent,0.12
State,Illinois,20 to 24,2008,Percent,0.15
State,Illinois,16 to 19,2008,Percent,0.07
State,Idaho,16 to 24,2008,Percent,0.12
State,Idaho,20 to 24,2008,Percent,0.15
State,Idaho,16 to 19,2008,Percent,0.08
State,Hawaii,16 to 24,2008,Percent,0.12
State,Hawaii,20 to 24,2008,Percent,0.14
State,Hawaii,16 to 19,2008,Percent,0.09
State,Georgia,16 to 24,2008,Percent,0.16
State,Georgia,20 to 24,2008,Percent,0.21
State,Georgia,16 to 19,2008,Percent,0.11
State,Florida,16 to 24,2008,Percent,0.15
State,Florida,20 to 24,2008,Percent,0.19
State,Florida,16 to 19,2008,Percent,0.1
City,District of Columbia,16 to 24,2008,Percent,0.13
City,District of Columbia,20 to 24,2008,Percent,0.17
City,District of Columbia,16 to 19,2008,Percent,0.09
State,Delaware,16 to 24,2008,Percent,0.11
State,Delaware,20 to 24,2008,Percent,0.13
State,Delaware,16 to 19,2008,Percent,0.09
State,Connecticut,16 to 24,2008,Percent,0.09
State,Connecticut,20 to 24,2008,Percent,0.13
State,Connecticut,16 to 19,2008,Percent,0.06
State,Colorado,16 to 24,2008,Percent,0.11
State,Colorado,20 to 24,2008,Percent,0.13
State,Colorado,16 to 19,2008,Percent,0.08
State,California,16 to 24,2008,Percent,0.13
State,California,20 to 24,2008,Percent,0.17
State,California,16 to 19,2008,Percent,0.08
State,Arkansas,16 to 24,2008,Percent,0.17
State,Arkansas,20 to 24,2008,Percent,0.21
State,Arkansas,16 to 19,2008,Percent,0.12
State,Arizona,16 to 24,2008,Percent,0.16
State,Arizona,20 to 24,2008,Percent,0.2
State,Arizona,16 to 19,2008,Percent,0.11
State,Alaska,16 to 24,2008,Percent,0.13
State,Alaska,20 to 24,2008,Percent,0.15
State,Alaska,16 to 19,2008,Percent,0.11
State,Alabama,16 to 24,2008,Percent,0.16
State,Alabama,20 to 24,2008,Percent,0.21
State,Alabama,16 to 19,2008,Percent,0.1
Nation,United States,16 to 24,2008,Percent,0.13
Nation,United States,20 to 24,2008,Percent,0.17
Nation,United States,16 to 19,2008,Percent,0.08
Nation,United States,16 to 19,2013,Percent,0.08
Nation,United States,20 to 24,2013,Percent,0.18
Nation,United States,16 to 24,2013,Percent,0.14
State,Alabama,16 to 19,2013,Percent,0.1
State,Alabama,20 to 24,2013,Percent,0.24
State,Alabama,16 to 24,2013,Percent,0.18
State,Alaska,16 to 19,2013,Percent,0.08
State,Alaska,20 to 24,2013,Percent,0.17
State,Alaska,16 to 24,2013,Percent,0.14
State,Arizona,16 to 19,2013,Percent,0.1
State,Arizona,20 to 24,2013,Percent,0.23
State,Arizona,16 to 24,2013,Percent,0.17
State,Arkansas,16 to 19,2013,Percent,0.1
State,Arkansas,20 to 24,2013,Percent,0.22
State,Arkansas,16 to 24,2013,Percent,0.17
State,California,16 to 19,2013,Percent,0.08
State,California,20 to 24,2013,Percent,0.18
State,California,16 to 24,2013,Percent,0.14
State,Colorado,16 to 19,2013,Percent,0.06
State,Colorado,20 to 24,2013,Percent,0.15
State,Colorado,16 to 24,2013,Percent,0.11
State,Connecticut,16 to 19,2013,Percent,0.05
State,Connecticut,20 to 24,2013,Percent,0.16
State,Connecticut,16 to 24,2013,Percent,0.11
State,Delaware,16 to 19,2013,Percent,0.06
State,Delaware,20 to 24,2013,Percent,0.2
State,Delaware,16 to 24,2013,Percent,0.14
City,District of Columbia,16 to 19,2013,Percent,0.11
City,District of Columbia,20 to 24,2013,Percent,0.21
City,District of Columbia,16 to 24,2013,Percent,0.17
State,Florida,16 to 19,2013,Percent,0.09
State,Florida,20 to 24,2013,Percent,0.2
State,Florida,16 to 24,2013,Percent,0.15
State,Georgia,16 to 19,2013,Percent,0.1
State,Georgia,20 to 24,2013,Percent,0.22
State,Georgia,16 to 24,2013,Percent,0.16
State,Hawaii,16 to 19,2013,Percent,0.1
State,Hawaii,20 to 24,2013,Percent,0.14
State,Hawaii,16 to 24,2013,Percent,0.13
State,Idaho,16 to 19,2013,Percent,0.08
State,Idaho,20 to 24,2013,Percent,0.19
State,Idaho,16 to 24,2013,Percent,0.14
State,Illinois,16 to 19,2013,Percent,0.07
State,Illinois,20 to 24,2013,Percent,0.18
State,Illinois,16 to 24,2013,Percent,0.13
State,Indiana,16 to 19,2013,Percent,0.07
State,Indiana,20 to 24,2013,Percent,0.18
State,Indiana,16 to 24,2013,Percent,0.13
State,Iowa,16 to 19,2013,Percent,0.05
State,Iowa,20 to 24,2013,Percent,0.11
State,Iowa,16 to 24,2013,Percent,0.08
State,Kansas,16 to 19,2013,Percent,0.06
State,Kansas,20 to 24,2013,Percent,0.13
State,Kansas,16 to 24,2013,Percent,0.1
State,Kentucky,16 to 19,2013,Percent,0.08
State,Kentucky,20 to 24,2013,Percent,0.2
State,Kentucky,16 to 24,2013,Percent,0.15
State,Louisiana,16 to 19,2013,Percent,0.12
State,Louisiana,20 to 24,2013,Percent,0.25
State,Louisiana,16 to 24,2013,Percent,0.2
State,Maine,16 to 19,2013,Percent,0.06
State,Maine,20 to 24,2013,Percent,0.15
State,Maine,16 to 24,2013,Percent,0.11
State,Maryland,16 to 19,2013,Percent,0.07
State,Maryland,20 to 24,2013,Percent,0.16
State,Maryland,16 to 24,2013,Percent,0.12
State,Massachusetts,16 to 19,2013,Percent,0.05
State,Massachusetts,20 to 24,2013,Percent,0.13
State,Massachusetts,16 to 24,2013,Percent,0.09
State,Michigan,16 to 19,2013,Percent,0.08
State,Michigan,20 to 24,2013,Percent,0.19
State,Michigan,16 to 24,2013,Percent,0.14
State,Minnesota,16 to 19,2013,Percent,0.05
State,Minnesota,20 to 24,2013,Percent,0.12
State,Mississippi,16 to 19,2013,Percent,0.12
State,Mississippi,20 to 24,2013,Percent,0.24
State,Minnesota,16 to 24,2013,Percent,0.09
State,Missouri,16 to 19,2013,Percent,0.07
State,Missouri,20 to 24,2013,Percent,0.16
State,Mississippi,16 to 24,2013,Percent,0.19
State,Montana,16 to 19,2013,Percent,0.07
State,Montana,20 to 24,2013,Percent,0.18
State,Missouri,16 to 24,2013,Percent,0.12
State,Montana,16 to 24,2013,Percent,0.13
State,Nebraska,16 to 19,2013,Percent,0.03
State,Nebraska,20 to 24,2013,Percent,0.11
State,Nebraska,16 to 24,2013,Percent,0.08
State,Nevada,16 to 19,2013,Percent,0.11
State,Nevada,20 to 24,2013,Percent,0.24
State,Nevada,16 to 24,2013,Percent,0.18
State,New Hampshire,16 to 19,2013,Percent,0.05
State,New Hampshire,20 to 24,2013,Percent,0.15
State,New Hampshire,16 to 24,2013,Percent,0.1
State,New Jersey,16 to 19,2013,Percent,0.06
State,New Jersey,20 to 24,2013,Percent,0.17
State,New Jersey,16 to 24,2013,Percent,0.12
State,New Mexico,16 to 19,2013,Percent,0.1
State,New Mexico,20 to 24,2013,Percent,0.23
State,New Mexico,16 to 24,2013,Percent,0.17
State,New York,16 to 19,2013,Percent,0.07
State,New York,20 to 24,2013,Percent,0.18
State,New York,16 to 24,2013,Percent,0.14
State,North Carolina,16 to 19,2013,Percent,0.09
State,North Carolina,20 to 24,2013,Percent,0.19
State,North Carolina,16 to 24,2013,Percent,0.15
State,North Dakota,16 to 19,2013,Percent,0.05
State,North Dakota,20 to 24,2013,Percent,0.1
State,North Dakota,16 to 24,2013,Percent,0.08
State,Ohio,16 to 19,2013,Percent,0.07
State,Ohio,20 to 24,2013,Percent,0.18
State,Ohio,16 to 24,2013,Percent,0.13
State,Oklahoma,16 to 19,2013,Percent,0.1
State,Oklahoma,20 to 24,2013,Percent,0.2
State,Oklahoma,16 to 24,2013,Percent,0.16
State,Oregon,16 to 19,2013,Percent,0.08
State,Oregon,20 to 24,2013,Percent,0.19
State,Oregon,16 to 24,2013,Percent,0.14
State,Pennsylvania,16 to 19,2013,Percent,0.06
State,Pennsylvania,20 to 24,2013,Percent,0.18
State,Pennsylvania,16 to 24,2013,Percent,0.13
State,Rhode Island,16 to 19,2013,Percent,0.06
State,Rhode Island,20 to 24,2013,Percent,0.15
State,Rhode Island,16 to 24,2013,Percent,0.11
State,South Carolina,16 to 19,2013,Percent,0.08
State,South Carolina,20 to 24,2013,Percent,0.2
State,South Carolina,16 to 24,2013,Percent,0.15
State,South Dakota,16 to 19,2013,Percent,0.06
State,South Dakota,20 to 24,2013,Percent,0.13
State,South Dakota,16 to 24,2013,Percent,0.1
State,Tennessee,16 to 19,2013,Percent,0.09
State,Tennessee,20 to 24,2013,Percent,0.22
State,Tennessee,16 to 24,2013,Percent,0.16
State,Texas,16 to 19,2013,Percent,0.09
State,Texas,20 to 24,2013,Percent,0.2
State,Texas,16 to 24,2013,Percent,0.15
State,Utah,16 to 19,2013,Percent,0.07
State,Utah,20 to 24,2013,Percent,0.16
State,Utah,16 to 24,2013,Percent,0.12
State,Vermont,16 to 19,2013,Percent,0.05
State,Vermont,20 to 24,2013,Percent,0.13
State,Vermont,16 to 24,2013,Percent,0.1
State,Virginia,16 to 19,2013,Percent,0.07
State,Virginia,20 to 24,2013,Percent,0.16
State,Virginia,16 to 24,2013,Percent,0.12
State,Washington,16 to 19,2013,Percent,0.07
State,Washington,20 to 24,2013,Percent,0.18
State,Washington,16 to 24,2013,Percent,0.14
State,West Virginia,16 to 19,2013,Percent,0.1
State,West Virginia,20 to 24,2013,Percent,0.25
State,West Virginia,16 to 24,2013,Percent,0.18
State,Wisconsin,16 to 19,2013,Percent,0.05
State,Wisconsin,20 to 24,2013,Percent,0.14
State,Wisconsin,16 to 24,2013,Percent,0.1
State,Wyoming,16 to 19,2013,Percent,0.05
State,Wyoming,20 to 24,2013,Percent,0.17
State,Wyoming,16 to 24,2013,Percent,0.12
Territory,Puerto Rico,16 to 19,2013,Percent,0.16
Territory,Puerto Rico,20 to 24,2013,Percent,0.31
Territory,Puerto Rico,16 to 24,2013,Percent,0.24
Territory,Virgin Islands,16 to 19,2013,Percent,N.A.
Territory,Virgin Islands,20 to 24,2013,Percent,N.A.
Territory,Virgin Islands,16 to 24,2013,Percent,N.A.
Territory,Virgin Islands,16 to 24,2013,Number,N.A.
Territory,Virgin Islands,20 to 24,2013,Number,N.A.
Territory,Virgin Islands,16 to 19,2013,Number,N.A.
Territory,Puerto Rico,16 to 19,2013,Number,36000
Territory,Puerto Rico,20 to 24,2013,Number,82000
Territory,Puerto Rico,16 to 24,2013,Number,118000
State,Wyoming,16 to 24,2013,Number,9000
State,Wyoming,20 to 24,2013,Number,8000
State,Wyoming,16 to 19,2013,Number,1000
State,Wisconsin,16 to 24,2013,Number,73000
State,Wisconsin,16 to 19,2013,Number,16000
State,Wisconsin,20 to 24,2013,Number,57000
State,West Virginia,16 to 24,2013,Number,40000
State,West Virginia,20 to 24,2013,Number,31000
State,West Virginia,16 to 19,2013,Number,9000
State,Washington,16 to 19,2013,Number,26000
State,Washington,20 to 24,2013,Number,90000
State,Washington,16 to 24,2013,Number,116000
State,Virginia,20 to 24,2013,Number,96000
State,Virginia,16 to 19,2013,Number,33000
State,Virginia,16 to 24,2013,Number,128000
State,Vermont,16 to 24,2013,Number,8000
State,Vermont,16 to 19,2013,Number,2000
State,Vermont,20 to 24,2013,Number,6000
State,Utah,16 to 24,2013,Number,52000
State,Utah,20 to 24,2013,Number,39000
State,Utah,16 to 19,2013,Number,12000
State,Texas,16 to 19,2013,Number,133000
State,Texas,20 to 24,2013,Number,388000
State,Texas,16 to 24,2013,Number,521000
State,Tennessee,16 to 24,2013,Number,130000
State,Tennessee,20 to 24,2013,Number,99000
State,Tennessee,16 to 19,2013,Number,31000
State,South Dakota,16 to 24,2013,Number,11000
State,South Dakota,16 to 19,2013,Number,3000
State,South Dakota,20 to 24,2013,Number,8000
State,South Carolina,16 to 24,2013,Number,92000
State,South Carolina,20 to 24,2013,Number,70000
State,South Carolina,16 to 19,2013,Number,22000
State,Rhode Island,16 to 24,2013,Number,17000
State,Rhode Island,16 to 19,2013,Number,4000
State,Rhode Island,20 to 24,2013,Number,13000
State,Pennsylvania,16 to 24,2013,Number,202000
State,Pennsylvania,20 to 24,2013,Number,158000
State,Pennsylvania,16 to 19,2013,Number,44000
State,Oregon,16 to 24,2013,Number,67000
State,Oregon,16 to 19,2013,Number,17000
State,Oregon,20 to 24,2013,Number,50000
State,Oklahoma,16 to 24,2013,Number,78000
State,Oklahoma,20 to 24,2013,Number,58000
State,Oklahoma,16 to 19,2013,Number,20000
State,Ohio,16 to 19,2013,Number,42000
State,Ohio,20 to 24,2013,Number,140000
State,Ohio,16 to 24,2013,Number,181000
State,North Dakota,16 to 24,2013,Number,9000
State,North Dakota,20 to 24,2013,Number,7000
State,North Dakota,16 to 19,2013,Number,2000
State,North Carolina,16 to 24,2013,Number,180000
State,North Carolina,16 to 19,2013,Number,47000
State,North Carolina,20 to 24,2013,Number,134000
State,New York,16 to 24,2013,Number,343000
State,New York,20 to 24,2013,Number,264000
State,New York,16 to 19,2013,Number,78000
State,New Mexico,16 to 19,2013,Number,12000
State,New Mexico,20 to 24,2013,Number,35000
State,New Mexico,16 to 24,2013,Number,47000
State,New Jersey,20 to 24,2013,Number,95000
State,New Jersey,16 to 19,2013,Number,30000
State,New Jersey,16 to 24,2013,Number,124000
State,New Hampshire,16 to 24,2013,Number,17000
State,New Hampshire,16 to 19,2013,Number,4000
State,New Hampshire,20 to 24,2013,Number,13000
State,Nevada,16 to 24,2013,Number,61000
State,Nevada,20 to 24,2013,Number,45000
State,Nevada,16 to 19,2013,Number,16000
State,Nebraska,16 to 19,2013,Number,4000
State,Nebraska,20 to 24,2013,Number,14000
State,Nebraska,16 to 24,2013,Number,18000
State,Montana,16 to 24,2013,Number,17000
State,Montana,20 to 24,2013,Number,13000
State,Montana,16 to 19,2013,Number,4000
State,Missouri,16 to 24,2013,Number,94000
State,Missouri,16 to 19,2013,Number,24000
State,Missouri,20 to 24,2013,Number,70000
State,Mississippi,16 to 24,2013,Number,76000
State,Mississippi,20 to 24,2013,Number,54000
State,Mississippi,16 to 19,2013,Number,22000
State,Minnesota,16 to 24,2013,Number,56000
State,Minnesota,16 to 19,2013,Number,14000
State,Minnesota,20 to 24,2013,Number,43000
State,Michigan,16 to 24,2013,Number,179000
State,Michigan,20 to 24,2013,Number,135000
State,Michigan,16 to 19,2013,Number,44000
State,Massachusetts,16 to 24,2013,Number,82000
State,Massachusetts,16 to 19,2013,Number,18000
State,Massachusetts,20 to 24,2013,Number,64000
State,Maryland,16 to 24,2013,Number,88000
State,Maryland,20 to 24,2013,Number,65000
State,Maryland,16 to 19,2013,Number,22000
State,Maine,16 to 19,2013,Number,4000
