State,Year,Month,Condition,BehavioralHealthService,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2018,201809,Mental health disorder,Emergency department,"6,881",5.4,
Alabama,2018,201809,Mental health disorder,Inpatient,"3,491",2.7,
Alabama,2018,201809,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,175",7.9,
Alabama,2018,201809,Mental health disorder,Outpatient,"122,261",95.1,
Alabama,2018,201809,Mental health disorder,Telehealth,40,0,
Alabama,2018,201809,Substance use disorder,Emergency department,"9,168",7.1,
Alabama,2018,201809,Substance use disorder,Inpatient,"3,859",3,
Alabama,2018,201809,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,420",7.3,
Alabama,2018,201809,Substance use disorder,Outpatient,"2,650",2.1,
Alabama,2018,201809,Substance use disorder,Telehealth,62,0,
Alabama,2018,201810,Mental health disorder,Emergency department,"6,362",4.9,
Alabama,2018,201810,Mental health disorder,Inpatient,"3,554",2.7,
Alabama,2018,201810,Mental health disorder,Intensive outpatient/Partial hospitalization,"12,268",9.4,
Alabama,2018,201810,Mental health disorder,Outpatient,"139,515",106.6,
Alabama,2018,201810,Mental health disorder,Telehealth,42,0,
Alabama,2018,201810,Substance use disorder,Emergency department,"8,878",6.8,
Alabama,2018,201810,Substance use disorder,Inpatient,"3,915",3,
Alabama,2018,201810,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,941",7.6,
Alabama,2018,201810,Substance use disorder,Outpatient,"3,097",2.4,
Alabama,2018,201810,Substance use disorder,Telehealth,57,0,
Alabama,2018,201811,Mental health disorder,Emergency department,"5,971",4.6,
Alabama,2018,201811,Mental health disorder,Inpatient,"3,266",2.5,
Alabama,2018,201811,Mental health disorder,Intensive outpatient/Partial hospitalization,"9,997",7.7,
Alabama,2018,201811,Mental health disorder,Outpatient,"126,038",97,
Alabama,2018,201811,Mental health disorder,Telehealth,42,0,
Alabama,2018,201811,Substance use disorder,Emergency department,"8,279",6.4,
Alabama,2018,201811,Substance use disorder,Inpatient,"3,583",2.8,
Alabama,2018,201811,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,817",6.8,
Alabama,2018,201811,Substance use disorder,Outpatient,"2,582",2,
Alabama,2018,201811,Substance use disorder,Telehealth,71,0.1,
Alabama,2018,201812,Mental health disorder,Emergency department,"6,035",4.7,
Alabama,2018,201812,Mental health disorder,Inpatient,"3,182",2.5,
Alabama,2018,201812,Mental health disorder,Intensive outpatient/Partial hospitalization,"9,029",7,
Alabama,2018,201812,Mental health disorder,Outpatient,"114,689",89.1,
Alabama,2018,201812,Mental health disorder,Telehealth,34,0,
Alabama,2018,201812,Substance use disorder,Emergency department,"8,876",6.9,
Alabama,2018,201812,Substance use disorder,Inpatient,"3,576",2.8,
Alabama,2018,201812,Substance use disorder,Intensive outpatient/Partial hospitalization,"7,864",6.1,
Alabama,2018,201812,Substance use disorder,Outpatient,"2,083",1.6,
Alabama,2018,201812,Substance use disorder,Telehealth,69,0.1,
Alabama,2019,201901,Mental health disorder,Emergency department,"6,609",5,
Alabama,2019,201901,Mental health disorder,Inpatient,"3,563",2.7,
Alabama,2019,201901,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,995",8.3,
Alabama,2019,201901,Mental health disorder,Outpatient,"142,037",107.6,
Alabama,2019,201901,Mental health disorder,Telehealth,67,0.1,
Alabama,2019,201901,Substance use disorder,Emergency department,"9,486",7.2,
Alabama,2019,201901,Substance use disorder,Inpatient,"3,976",3,
Alabama,2019,201901,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,538",8,
Alabama,2019,201901,Substance use disorder,Outpatient,"2,663",2,
Alabama,2019,201901,Substance use disorder,Telehealth,98,0.1,
Alabama,2019,201902,Mental health disorder,Emergency department,"5,953",4.5,
Alabama,2019,201902,Mental health disorder,Inpatient,"3,383",2.5,
Alabama,2019,201902,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,823",8.2,
Alabama,2019,201902,Mental health disorder,Outpatient,"131,247",98.9,
Alabama,2019,201902,Mental health disorder,Telehealth,74,0.1,
Alabama,2019,201902,Substance use disorder,Emergency department,"8,787",6.6,
Alabama,2019,201902,Substance use disorder,Inpatient,"3,568",2.7,
Alabama,2019,201902,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,738",7.3,
Alabama,2019,201902,Substance use disorder,Outpatient,"2,641",2,
Alabama,2019,201902,Substance use disorder,Telehealth,80,0.1,
Alabama,2019,201903,Mental health disorder,Emergency department,"6,190",4.7,
Alabama,2019,201903,Mental health disorder,Inpatient,"3,514",2.7,
Alabama,2019,201903,Mental health disorder,Intensive outpatient/Partial hospitalization,"11,105",8.4,
Alabama,2019,201903,Mental health disorder,Outpatient,"134,630",102,
Alabama,2019,201903,Mental health disorder,Telehealth,62,0,
Alabama,2019,201903,Substance use disorder,Emergency department,"9,315",7.1,
Alabama,2019,201903,Substance use disorder,Inpatient,"3,784",2.9,
Alabama,2019,201903,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,786",7.4,
Alabama,2019,201903,Substance use disorder,Outpatient,"2,716",2.1,
Alabama,2019,201903,Substance use disorder,Telehealth,66,0.1,
Alabama,2019,201904,Mental health disorder,Emergency department,"6,281",4.7,
Alabama,2019,201904,Mental health disorder,Inpatient,"3,570",2.7,
Alabama,2019,201904,Mental health disorder,Intensive outpatient/Partial hospitalization,"12,240",9.2,
Alabama,2019,201904,Mental health disorder,Outpatient,"141,590",106.5,
Alabama,2019,201904,Mental health disorder,Telehealth,90,0.1,
Alabama,2019,201904,Substance use disorder,Emergency department,"8,929",6.7,
Alabama,2019,201904,Substance use disorder,Inpatient,"3,717",2.8,
Alabama,2019,201904,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,558",7.9,
Alabama,2019,201904,Substance use disorder,Outpatient,"3,098",2.3,
Alabama,2019,201904,Substance use disorder,Telehealth,91,0.1,
Alabama,2019,201905,Mental health disorder,Emergency department,"6,110",4.6,
Alabama,2019,201905,Mental health disorder,Inpatient,"3,459",2.6,
Alabama,2019,201905,Mental health disorder,Intensive outpatient/Partial hospitalization,"11,982",9.1,
Alabama,2019,201905,Mental health disorder,Outpatient,"135,515",102.7,
Alabama,2019,201905,Mental health disorder,Telehealth,89,0.1,
Alabama,2019,201905,Substance use disorder,Emergency department,"9,278",7,
Alabama,2019,201905,Substance use disorder,Inpatient,"3,931",3,
Alabama,2019,201905,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,643",8.1,
Alabama,2019,201905,Substance use disorder,Outpatient,"3,021",2.3,
Alabama,2019,201905,Substance use disorder,Telehealth,72,0.1,
Alabama,2019,201906,Mental health disorder,Emergency department,"5,905",4.5,
Alabama,2019,201906,Mental health disorder,Inpatient,"3,455",2.6,
Alabama,2019,201906,Mental health disorder,Intensive outpatient/Partial hospitalization,"15,466",11.9,
Alabama,2019,201906,Mental health disorder,Outpatient,"121,383",93.1,
Alabama,2019,201906,Mental health disorder,Telehealth,68,0.1,
Alabama,2019,201906,Substance use disorder,Emergency department,"9,168",7,
Alabama,2019,201906,Substance use disorder,Inpatient,"3,773",2.9,
Alabama,2019,201906,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,940",7.6,
Alabama,2019,201906,Substance use disorder,Outpatient,"2,793",2.1,
Alabama,2019,201906,Substance use disorder,Telehealth,90,0.1,
Alabama,2019,201907,Mental health disorder,Emergency department,"6,048",4.6,
Alabama,2019,201907,Mental health disorder,Inpatient,"3,579",2.7,
Alabama,2019,201907,Mental health disorder,Intensive outpatient/Partial hospitalization,"14,372",10.9,
Alabama,2019,201907,Mental health disorder,Outpatient,"129,617",98,
Alabama,2019,201907,Mental health disorder,Telehealth,42,0,
Alabama,2019,201907,Substance use disorder,Emergency department,"9,333",7.1,
Alabama,2019,201907,Substance use disorder,Inpatient,"3,942",3,
Alabama,2019,201907,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,686",8.1,
Alabama,2019,201907,Substance use disorder,Outpatient,"2,860",2.2,
Alabama,2019,201907,Substance use disorder,Telehealth,60,0,
Alabama,2019,201908,Mental health disorder,Emergency department,"6,221",4.7,
Alabama,2019,201908,Mental health disorder,Inpatient,"3,619",2.7,
Alabama,2019,201908,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,402",7.8,
Alabama,2019,201908,Mental health disorder,Outpatient,"136,626",102.5,
Alabama,2019,201908,Mental health disorder,Telehealth,45,0,
Alabama,2019,201908,Substance use disorder,Emergency department,"9,074",6.8,
Alabama,2019,201908,Substance use disorder,Inpatient,"3,950",3,
Alabama,2019,201908,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,440",7.8,
Alabama,2019,201908,Substance use disorder,Outpatient,"3,050",2.3,
Alabama,2019,201908,Substance use disorder,Telehealth,70,0.1,
Alabama,2019,201909,Mental health disorder,Emergency department,"6,617",5,
Alabama,2019,201909,Mental health disorder,Inpatient,"3,522",2.7,
Alabama,2019,201909,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,579",8,
Alabama,2019,201909,Mental health disorder,Outpatient,"132,933",100.3,
Alabama,2019,201909,Mental health disorder,Telehealth,60,0,
Alabama,2019,201909,Substance use disorder,Emergency department,"9,049",6.8,
Alabama,2019,201909,Substance use disorder,Inpatient,"3,932",3,
Alabama,2019,201909,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,754",7.4,
Alabama,2019,201909,Substance use disorder,Outpatient,"2,862",2.2,
Alabama,2019,201909,Substance use disorder,Telehealth,53,0,
Alabama,2019,201910,Mental health disorder,Emergency department,"6,358",4.8,
Alabama,2019,201910,Mental health disorder,Inpatient,"3,569",2.7,
Alabama,2019,201910,Mental health disorder,Intensive outpatient/Partial hospitalization,"12,020",9.1,
Alabama,2019,201910,Mental health disorder,Outpatient,"142,475",108,
Alabama,2019,201910,Mental health disorder,Telehealth,50,0,
Alabama,2019,201910,Substance use disorder,Emergency department,"8,742",6.6,
Alabama,2019,201910,Substance use disorder,Inpatient,"3,815",2.9,
Alabama,2019,201910,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,964",8.3,
Alabama,2019,201910,Substance use disorder,Outpatient,"3,534",2.7,
Alabama,2019,201910,Substance use disorder,Telehealth,88,0.1,
Alabama,2019,201911,Mental health disorder,Emergency department,"5,845",4.6,
Alabama,2019,201911,Mental health disorder,Inpatient,"3,118",2.5,
Alabama,2019,201911,Mental health disorder,Intensive outpatient/Partial hospitalization,"9,405",7.4,
Alabama,2019,201911,Mental health disorder,Outpatient,"122,070",95.9,
Alabama,2019,201911,Mental health disorder,Telehealth,32,0,
Alabama,2019,201911,Substance use disorder,Emergency department,"8,298",6.5,
Alabama,2019,201911,Substance use disorder,Inpatient,"3,583",2.8,
Alabama,2019,201911,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,494",7.5,
Alabama,2019,201911,Substance use disorder,Outpatient,"2,980",2.3,
Alabama,2019,201911,Substance use disorder,Telehealth,60,0,
Alabama,2019,201912,Mental health disorder,Emergency department,"5,516",4.4,
Alabama,2019,201912,Mental health disorder,Inpatient,"3,130",2.5,
Alabama,2019,201912,Mental health disorder,Intensive outpatient/Partial hospitalization,"9,645",7.8,
Alabama,2019,201912,Mental health disorder,Outpatient,"117,568",94.8,
Alabama,2019,201912,Mental health disorder,Telehealth,40,0,
Alabama,2019,201912,Substance use disorder,Emergency department,"8,759",7.1,
Alabama,2019,201912,Substance use disorder,Inpatient,"3,543",2.9,
Alabama,2019,201912,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,339",7.5,
Alabama,2019,201912,Substance use disorder,Outpatient,"3,033",2.4,
Alabama,2019,201912,Substance use disorder,Telehealth,61,0,
Alabama,2020,202001,Mental health disorder,Emergency department,"6,112",5,
Alabama,2020,202001,Mental health disorder,Inpatient,"3,730",3,
Alabama,2020,202001,Mental health disorder,Intensive outpatient/Partial hospitalization,"11,219",9.2,
Alabama,2020,202001,Mental health disorder,Outpatient,"143,152",116.9,
Alabama,2020,202001,Mental health disorder,Telehealth,61,0,
Alabama,2020,202001,Substance use disorder,Emergency department,"9,106",7.4,
Alabama,2020,202001,Substance use disorder,Inpatient,"4,020",3.3,
Alabama,2020,202001,Substance use disorder,Intensive outpatient/Partial hospitalization,"11,728",9.6,
Alabama,2020,202001,Substance use disorder,Outpatient,"3,737",3.1,
Alabama,2020,202001,Substance use disorder,Telehealth,98,0.1,
Alabama,2020,202002,Mental health disorder,Emergency department,"5,793",4.8,
Alabama,2020,202002,Mental health disorder,Inpatient,"3,355",2.8,
Alabama,2020,202002,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,461",8.8,
Alabama,2020,202002,Mental health disorder,Outpatient,"132,179",110.6,
Alabama,2020,202002,Mental health disorder,Telehealth,81,0.1,
Alabama,2020,202002,Substance use disorder,Emergency department,"8,380",7,
Alabama,2020,202002,Substance use disorder,Inpatient,"3,570",3,
Alabama,2020,202002,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,657",8.9,
Alabama,2020,202002,Substance use disorder,Outpatient,"3,579",3,
Alabama,2020,202002,Substance use disorder,Telehealth,87,0.1,
Alabama,2020,202003,Mental health disorder,Emergency department,"4,837",4.1,
Alabama,2020,202003,Mental health disorder,Inpatient,"2,929",2.5,
Alabama,2020,202003,Mental health disorder,Intensive outpatient/Partial hospitalization,"8,201",7,
Alabama,2020,202003,Mental health disorder,Outpatient,"109,633",93.1,
Alabama,2020,202003,Mental health disorder,Telehealth,"7,205",6.1,
Alabama,2020,202003,Substance use disorder,Emergency department,"7,699",6.5,
Alabama,2020,202003,Substance use disorder,Inpatient,"3,225",2.7,
Alabama,2020,202003,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,913",8.4,
Alabama,2020,202003,Substance use disorder,Outpatient,"2,681",2.3,
Alabama,2020,202003,Substance use disorder,Telehealth,"1,531",1.3,
Alabama,2020,202004,Mental health disorder,Emergency department,"3,220",2.7,
Alabama,2020,202004,Mental health disorder,Inpatient,"2,287",1.9,
Alabama,2020,202004,Mental health disorder,Intensive outpatient/Partial hospitalization,"3,465",2.9,
Alabama,2020,202004,Mental health disorder,Outpatient,"61,135",51.6,
Alabama,2020,202004,Mental health disorder,Telehealth,"29,764",25.1,
Alabama,2020,202004,Substance use disorder,Emergency department,"5,255",4.4,
Alabama,2020,202004,Substance use disorder,Inpatient,"2,524",2.1,
Alabama,2020,202004,Substance use disorder,Intensive outpatient/Partial hospitalization,"6,715",5.7,
Alabama,2020,202004,Substance use disorder,Outpatient,692,0.6,
Alabama,2020,202004,Substance use disorder,Telehealth,"5,556",4.7,
Alabama,2020,202005,Mental health disorder,Emergency department,"4,051",3.4,
Alabama,2020,202005,Mental health disorder,Inpatient,"2,956",2.5,
Alabama,2020,202005,Mental health disorder,Intensive outpatient/Partial hospitalization,"4,260",3.6,
Alabama,2020,202005,Mental health disorder,Outpatient,"65,994",55.3,
Alabama,2020,202005,Mental health disorder,Telehealth,"25,364",21.2,
Alabama,2020,202005,Substance use disorder,Emergency department,"6,519",5.5,
Alabama,2020,202005,Substance use disorder,Inpatient,"3,187",2.7,
Alabama,2020,202005,Substance use disorder,Intensive outpatient/Partial hospitalization,"7,363",6.2,
Alabama,2020,202005,Substance use disorder,Outpatient,780,0.7,
Alabama,2020,202005,Substance use disorder,Telehealth,"4,282",3.6,
Alabama,2020,202006,Mental health disorder,Emergency department,"4,520",3.7,
Alabama,2020,202006,Mental health disorder,Inpatient,"3,166",2.6,
Alabama,2020,202006,Mental health disorder,Intensive outpatient/Partial hospitalization,"7,658",6.4,
Alabama,2020,202006,Mental health disorder,Outpatient,"78,207",64.9,
Alabama,2020,202006,Mental health disorder,Telehealth,"22,323",18.5,
Alabama,2020,202006,Substance use disorder,Emergency department,"7,192",6,
Alabama,2020,202006,Substance use disorder,Inpatient,"3,341",2.8,
Alabama,2020,202006,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,626",7.2,
Alabama,2020,202006,Substance use disorder,Outpatient,"1,355",1.1,
Alabama,2020,202006,Substance use disorder,Telehealth,"3,758",3.1,
Alabama,2020,202007,Mental health disorder,Emergency department,"4,667",3.8,
Alabama,2020,202007,Mental health disorder,Inpatient,"3,153",2.6,
Alabama,2020,202007,Mental health disorder,Intensive outpatient/Partial hospitalization,"7,951",6.5,
Alabama,2020,202007,Mental health disorder,Outpatient,"77,392",63.6,
Alabama,2020,202007,Mental health disorder,Telehealth,"22,808",18.7,
Alabama,2020,202007,Substance use disorder,Emergency department,"7,221",5.9,
Alabama,2020,202007,Substance use disorder,Inpatient,"3,221",2.6,
Alabama,2020,202007,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,817",7.2,
Alabama,2020,202007,Substance use disorder,Outpatient,"1,435",1.2,
Alabama,2020,202007,Substance use disorder,Telehealth,"3,643",3,
Alabama,2020,202008,Mental health disorder,Emergency department,"4,542",3.7,
Alabama,2020,202008,Mental health disorder,Inpatient,"3,193",2.6,
Alabama,2020,202008,Mental health disorder,Intensive outpatient/Partial hospitalization,"6,293",5.1,
Alabama,2020,202008,Mental health disorder,Outpatient,"79,497",64.8,
Alabama,2020,202008,Mental health disorder,Telehealth,"22,589",18.4,
Alabama,2020,202008,Substance use disorder,Emergency department,"7,448",6.1,
Alabama,2020,202008,Substance use disorder,Inpatient,"3,316",2.7,
Alabama,2020,202008,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,638",7,
Alabama,2020,202008,Substance use disorder,Outpatient,"1,491",1.2,
Alabama,2020,202008,Substance use disorder,Telehealth,"3,332",2.7,
Alabama,2020,202009,Mental health disorder,Emergency department,"4,938",4,
Alabama,2020,202009,Mental health disorder,Inpatient,"3,157",2.6,
Alabama,2020,202009,Mental health disorder,Intensive outpatient/Partial hospitalization,"6,701",5.4,
Alabama,2020,202009,Mental health disorder,Outpatient,"82,873",67.3,
Alabama,2020,202009,Mental health disorder,Telehealth,"20,952",17,
Alabama,2020,202009,Substance use disorder,Emergency department,"7,540",6.1,
Alabama,2020,202009,Substance use disorder,Inpatient,"3,278",2.7,
Alabama,2020,202009,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,721",7.1,
Alabama,2020,202009,Substance use disorder,Outpatient,"1,395",1.1,
Alabama,2020,202009,Substance use disorder,Telehealth,"3,140",2.6,
Alabama,2020,202010,Mental health disorder,Emergency department,"4,906",4,
Alabama,2020,202010,Mental health disorder,Inpatient,"3,251",2.6,
Alabama,2020,202010,Mental health disorder,Intensive outpatient/Partial hospitalization,"7,357",5.9,
Alabama,2020,202010,Mental health disorder,Outpatient,"91,753",74.1,
Alabama,2020,202010,Mental health disorder,Telehealth,"18,164",14.7,
Alabama,2020,202010,Substance use disorder,Emergency department,"7,869",6.4,
Alabama,2020,202010,Substance use disorder,Inpatient,"3,385",2.7,
Alabama,2020,202010,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,335",7.5,
Alabama,2020,202010,Substance use disorder,Outpatient,"1,694",1.4,
Alabama,2020,202010,Substance use disorder,Telehealth,"2,967",2.4,
Alabama,2020,202011,Mental health disorder,Emergency department,"4,563",3.7,
Alabama,2020,202011,Mental health disorder,Inpatient,"3,009",2.4,
Alabama,2020,202011,Mental health disorder,Intensive outpatient/Partial hospitalization,"6,070",4.9,
Alabama,2020,202011,Mental health disorder,Outpatient,"84,076",67.5,
Alabama,2020,202011,Mental health disorder,Telehealth,"15,876",12.8,
Alabama,2020,202011,Substance use disorder,Emergency department,"7,634",6.1,
Alabama,2020,202011,Substance use disorder,Inpatient,"3,087",2.5,
Alabama,2020,202011,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,496",6.8,
Alabama,2020,202011,Substance use disorder,Outpatient,"1,625",1.3,
Alabama,2020,202011,Substance use disorder,Telehealth,"2,673",2.1,
Alabama,2020,202012,Mental health disorder,Emergency department,"4,334",3.5,
Alabama,2020,202012,Mental health disorder,Inpatient,"2,832",2.3,
Alabama,2020,202012,Mental health disorder,Intensive outpatient/Partial hospitalization,"5,790",4.6,
Alabama,2020,202012,Mental health disorder,Outpatient,"80,659",64.3,
Alabama,2020,202012,Mental health disorder,Telehealth,"17,017",13.6,
Alabama,2020,202012,Substance use disorder,Emergency department,"6,877",5.5,
Alabama,2020,202012,Substance use disorder,Inpatient,"2,909",2.3,
Alabama,2020,202012,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,273",6.6,
Alabama,2020,202012,Substance use disorder,Outpatient,"1,586",1.3,
Alabama,2020,202012,Substance use disorder,Telehealth,"3,005",2.4,
Alabama,2021,202101,Mental health disorder,Emergency department,"4,711",3.7,
Alabama,2021,202101,Mental health disorder,Inpatient,"3,046",2.4,
Alabama,2021,202101,Mental health disorder,Intensive outpatient/Partial hospitalization,"5,365",4.2,
Alabama,2021,202101,Mental health disorder,Outpatient,"91,560",72.5,
Alabama,2021,202101,Mental health disorder,Telehealth,"18,467",14.6,
Alabama,2021,202101,Substance use disorder,Emergency department,"6,967",5.5,
Alabama,2021,202101,Substance use disorder,Inpatient,"2,912",2.3,
Alabama,2021,202101,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,871",7,
Alabama,2021,202101,Substance use disorder,Outpatient,"1,347",1.1,
Alabama,2021,202101,Substance use disorder,Telehealth,"3,166",2.5,
Alabama,2021,202102,Mental health disorder,Emergency department,"4,765",3.8,
Alabama,2021,202102,Mental health disorder,Inpatient,"2,991",2.4,
Alabama,2021,202102,Mental health disorder,Intensive outpatient/Partial hospitalization,"5,430",4.3,
Alabama,2021,202102,Mental health disorder,Outpatient,"89,143",70.3,
Alabama,2021,202102,Mental health disorder,Telehealth,"17,847",14.1,
Alabama,2021,202102,Substance use disorder,Emergency department,"6,728",5.3,
Alabama,2021,202102,Substance use disorder,Inpatient,"2,941",2.3,
Alabama,2021,202102,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,682",6.8,
Alabama,2021,202102,Substance use disorder,Outpatient,"1,436",1.1,
